Date,Open,High,Low,Close,Volume,MarketCap,ForwardPE,TrailingPE,ForwardPEG,TrailingPEG
2017-06-27,65.66879547457783,65.73436095172342,64.79770719472883,64.8258056640625,25215100,1655845244.7710276,6.114412986459761,6.854780320937143,65.04694666446554,72.92319490358663
2017-06-28,64.8258189405489,65.41590835571087,64.43242599710759,65.37844848632812,25806200,1672908048.743593,6.035923551261536,6.766786945777547,64.21195267299507,71.98709516784623
2017-06-29,64.9850419533711,65.08807444921398,63.77675762166046,64.15142059326172,28918700,1879282932.7369528,6.050748785230083,6.7834073020220345,64.3696679279796,72.16390746831952
2017-06-30,64.42305334387092,64.98504424806644,64.3855863307776,64.56355285644531,24161100,1556531834.1465998,5.998422099056882,6.72474460791972,63.81300105379662,71.53983625446511
2017-07-03,64.93822575100451,65.19111919534892,63.71120410978387,63.85170364379883,16165500,1049758888.3778634,6.046389734730401,6.778520433299009,64.32329505032342,72.11191950318096
2017-07-05,63.93598476475018,65.04123643737027,63.89851775851382,64.70404052734375,21176300,1353927594.1737792,5.953071207146199,6.673902376278725,63.33054475687446,70.99896144977366
2017-07-06,63.94537267488403,64.4230682698721,63.80488027586139,64.22637176513672,21117600,1350372801.999131,5.953945314235011,6.674882325144471,63.33984376845757,71.00938643770714
2017-07-07,64.34812329919004,65.41590822706077,64.34812329919004,65.05998229980469,16878300,1086086929.480719,5.991445372364063,6.7169231001242204,63.7387805570645,71.45662872472575
2017-07-10,65.05999396389905,65.79995157220793,64.81646189311421,65.54705810546875,15014500,976843279.3709623,6.05772755716006,6.791231102703449,64.44391018255384,72.24713939046222
2017-07-11,65.56577265362864,66.20269758810798,65.33160917986568,65.55640411376953,17460000,1144778390.532356,6.1048205450305995,6.84402637303013,64.94489941521914,72.80879120244819
2017-07-12,66.21207670353328,66.76469915975117,66.08094570896961,66.64293670654297,17750900,1175323952.356749,6.164997830869021,6.911490261329153,65.58508330711724,73.5264921417995
2017-07-13,66.97075465951713,67.47654862916323,66.79278812961326,67.22364807128906,20269800,1357483802.7974803,6.2356382364541085,6.990684202454815,66.33657698355435,74.36898087717888
2017-07-14,67.66386856564597,68.62862083704759,67.40160664481074,68.16966247558594,25868100,1750335718.4429865,6.300173981903722,7.063034297040289,67.02312746706087,75.13866273447117
2017-07-17,68.18839696291022,68.79721619339067,68.11346294663224,68.70355224609375,21803900,1486772988.5395982,6.349012752598717,7.117786739343447,67.54268885743316,75.72113552493029
2017-07-18,68.460019445564,68.74101843018731,68.0572651916255,68.65672302246094,26435300,1809761152.049318,6.374303486551582,7.146139816864718,67.81173921863386,76.02276400919912
2017-07-19,68.84406317212992,69.3498571468452,68.79722761765353,69.18125915527344,22416200,1543222288.8790987,6.41006174787057,7.186227888531307,68.19214625394223,76.44923285671604
2017-07-20,69.48098849081268,69.59338953448793,68.63799852850416,69.5184555053711,42361000,2943284153.459316,6.4693657812674745,7.252712786097357,68.82304022624973,77.1565190010357
2017-07-21,68.79721850245772,69.58401140758161,68.53495658278355,69.11568450927734,46717100,3214006536.501168,6.405700046783773,7.181338048273249,68.14574517855077,76.39721327950265
2017-07-24,68.8721481472923,69.07821311283554,68.49748522322284,68.93771362304688,21394800,1473505835.1816893,6.412676736246954,7.189159514331137,68.21996527922292,76.48042036522486
2017-07-25,69.12505439978597,69.60274270020382,68.84405539686836,69.49034881591797,22018700,1522043835.3125672,6.436224804449345,7.215558914382669,68.47047664307813,76.76126504662413
2017-07-26,69.63085340699276,69.66832042370567,69.1344279412264,69.3592300415039,16252200,1131654555.7411277,6.483319684077538,7.2683563055316025,68.97148600082487,77.32293942054896
2017-07-27,69.08758747911375,69.70577528179085,67.73880369712516,68.52559661865234,36844200,2545476890.597963,6.432736264349511,7.211647962329201,68.4333645143565,76.7196591737149
2017-07-28,68.06664346033045,68.66610143979474,67.9448810147246,68.4132080078125,18306700,1246075621.8352315,6.337676299844548,7.105077605462469,67.4220882962186,75.58593197300499
2017-07-31,68.65672454420302,68.7878555009734,67.82310325640503,68.0947265625,23600100,1620305564.9156456,6.392618672644601,7.166672708163154,68.00658162387873,76.24119902301227
2017-08-01,68.46941017607833,68.76913918864317,67.89805062929796,67.98235321044922,22132300,1515385526.8400183,6.375177856245654,7.147120060133437,67.82104102388993,76.03319212907911
